Name,Title,Xaxis,Yaxis,Options
d15-x01-y01,Au+Au $p/\pi^+$ $0-10%$ centrality,$p_T$ (GeV/$c$),Ratio $p/\pi^+$,LogY=<0>
d15-x01-y02,Au+Au $p/\pi^+$ $10-20%$ centrality,$p_T$ (GeV/$c$),Ratio $p/\pi^+$,LogY=<0>
d15-x01-y03,Au+Au $p/\pi^+$ $20-40%$ centrality,$p_T$ (GeV/$c$),Ratio $p/\pi^+$,LogY=<0>
d15-x01-y04,Au+Au $p/\pi^+$ $40-60%$ centrality,$p_T$ (GeV/$c$),Ratio $p/\pi^+$,LogY=<0>
d15-x01-y05,Au+Au $p/\pi^+$ $60-92%$ centrality,$p_T$ (GeV/$c$),Ratio $p/\pi^+$,LogY=<0>
d15-x01-y06,Au+Au $\bar{p}/\pi ^-$ $0-10%$ centrality,$p_T$ (GeV/$c$),Ratio $\bar{p}/\pi ^-$,LogY=<0>
d15-x01-y07,Au+Au $\bar{p}/\pi ^-$ $10-20%$ centrality,$p_T$ (GeV/$c$),Ratio $\bar{p}/\pi ^-$,LogY=<0>
d15-x01-y08,Au+Au $\bar{p}/\pi ^-$ $20-40%$ centrality,$p_T$ (GeV/$c$),Ratio $\bar{p}/\pi ^-$,LogY=<0>
d15-x01-y09,Au+Au $\bar{p}/\pi ^-$ $40-60%$ centrality,$p_T$ (GeV/$c$),Ratio $\bar{p}/\pi ^-$,LogY=<0>
d15-x01-y10,Au+Au $\bar{p}/\pi ^-$ $60-92%$ centrality,$p_T$ (GeV/$c$),Ratio $\bar{p}/\pi ^-$,LogY=<0>
d16-x01-y01,d+Au $p/\pi^+$ $0-20%$ centrality,$p_T$ (GeV/$c$),Ratio $p/\pi^+$,LogY=<0>
d16-x01-y02,d+Au $p/\pi^+$ $0-100%$ centrality,$p_T$ (GeV/$c$),Ratio $p/\pi^+$,LogY=<0>
d16-x01-y03,d+Au $p/\pi^+$ $20-40%$ centrality,$p_T$ (GeV/$c$),Ratio $p/\pi^+$,LogY=<0>
d16-x01-y04,d+Au $p/\pi^+$ $40-60%$ centrality,$p_T$ (GeV/$c$),Ratio $p/\pi^+$,LogY=<0>
d16-x01-y05,d+Au $p/\pi^+$ $60-88%$ centrality,$p_T$ (GeV/$c$),Ratio $p/\pi^+$,LogY=<0>
d16-x01-y06,d+Au $\bar{p}/\pi ^-$ $0-20%$ centrality,$p_T$ (GeV/$c$),Ratio $\bar{p}/\pi ^-$,LogY=<0>
d16-x01-y07,d+Au $\bar{p}/\pi ^-$ $0-100%$ centrality,$p_T$ (GeV/$c$),Ratio $\bar{p}/\pi ^-$,LogY=<0>
d16-x01-y08,d+Au $\bar{p}/\pi ^-$ $20-40%$ centrality,$p_T$ (GeV/$c$),Ratio $\bar{p}/\pi ^-$,LogY=<0>
d16-x01-y09,d+Au $\bar{p}/\pi ^-$ $40-60%$ centrality,$p_T$ (GeV/$c$),Ratio $\bar{p}/\pi ^-$,LogY=<0>
d16-x01-y10,d+Au $\bar{p}/\pi ^-$ $60-88%$ centrality,$p_T$ (GeV/$c$),Ratio $\bar{p}/\pi ^-$,LogY=<0>
d17-x01-y01,AuAu $K^+$ $0-10/40-60$ centrality,$p_T$ (GeV/$c$),$R_{cp}$,LogY=<0>
d17-x01-y02,AuAu $K^+$ $0-10/60-92$ centrality,$p_T$ (GeV/$c$),$R_{cp}$,LogY=<0>
d17-x01-y03,AuAu $K^-$ $0-10/40-60$ centrality,$p_T$ (GeV/$c$),$R_{cp}$,LogY=<0>
d17-x01-y04,AuAu $K^-$ $0-10/60-92$ centrality,$p_T$ (GeV/$c$),$R_{cp}$,LogY=<0>
d18-x01-y01,AuAu $\pi ^+$ $0-10/40-60$ centrality,$p_T$ (GeV/$c$),$R_{cp}$,LogY=<0>
d18-x01-y02,AuAu $\pi ^+$ $0-10/60-92$ centrality,$p_T$ (GeV/$c$),$R_{cp}$,LogY=<0>
d18-x01-y03,AuAu $\pi ^-$ $0-10/40-60$ centrality,$p_T$ (GeV/$c$),$R_{cp}$,LogY=<0>
d18-x01-y04,AuAu $\pi ^-$ $0-10/60-92$ centrality,$p_T$ (GeV/$c$),$R_{cp}$,LogY=<0>
d19-x01-y01,AuAu $p$ $0-10/40-60$ centrality,$p_T$ (GeV/$c$),$R_{cp}$,LogY=<0>
d19-x01-y02,AuAu $p$ $0-10/60-92$ centrality,$p_T$ (GeV/$c$),$R_{cp}$,LogY=<0>
d19-x01-y03,AuAu $\bar{p}$ $0-10/40-60$ centrality,$p_T$ (GeV/$c$),$R_{cp}$,LogY=<0>
d19-x01-y04,AuAu $\bar{p}$ $0-10/60-92$ centrality,$p_T$ (GeV/$c$),$R_{cp}$,LogY=<0>
d20-x01-y01,Au+Au $K$ $0-10%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d20-x01-y02,Au+Au $K$ $10-20%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d20-x01-y03,Au+Au $K$ $20-40%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d20-x01-y04,Au+Au $K$ $40-60%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d20-x01-y05,Au+Au $K$ $60-92%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d21-x01-y01,Au+Au $\pi$ $0-10%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d21-x01-y02,Au+Au $\pi$ $10-20%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d21-x01-y03,Au+Au $\pi$ $20-40%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d21-x01-y04,Au+Au $\pi$ $40-60%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d21-x01-y05,Au+Au $\pi$ $60-92%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d22-x01-y01,Au+Au $p$ $0-10%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d22-x01-y02,Au+Au $p$ $10-20%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d22-x01-y03,Au+Au $p$ $20-40%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d22-x01-y04,Au+Au $p$ $40-60%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d22-x01-y05,Au+Au $p$ $60-92%$ centrality,$p_T$ (GeV/$c$),$R_{AA}$,LogY=<0>
d23-x01-y01,d+Au $K$ $0-20%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d23-x01-y02,d+Au $K$ $0-100%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d23-x01-y03,d+Au $K$ $20-40%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d23-x01-y04,d+Au $K$ $40-60%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d23-x01-y05,d+Au $K$ $60-88%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d24-x01-y01,d+Au $\pi$ $0-20%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d24-x01-y02,d+Au $\pi$ $0-100%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d24-x01-y03,d+Au $\pi$ $20-40%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d24-x01-y04,d+Au $\pi$ $40-60%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d24-x01-y05,d+Au $\pi$ $60-88%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d25-x01-y01,d+Au $p$ $0-20%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d25-x01-y02,d+Au $p$ $0-100%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d25-x01-y03,d+Au $p$ $20-40%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d25-x01-y04,d+Au $p$ $40-60%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d25-x01-y05,d+Au $p$ $60-88%$ centrality,$p_T$ (GeV/$c$),$R_{dA}$,LogY=<0>
d26-x01-y01,$K^-$ + $K^+$,$p_T$ (GeV/$c$),Ratio of Spectra,LogY=<0>
d27-x01-y01,$\pi^-$ + $\pi^+$,$p_T$ (GeV/$c$),Ratio of Spectra,LogY=<0>
d28-x01-y01,$\bar{p}$ + $p$,$p_T$ (GeV/$c$),Ratio of Spectra,LogY=<0>
